01.11.01,,,,,,,,,
26.10.06#2,"5,2.5 (CIMR LS50)",,,,,,,,
Time (h),asyn,b5V8Q,,,,,,,
0,4,4,,,,,,,
2,3.6,2.8,,,,,,,
4,5.8,4.1,,,,,,,
8,14.6,4.2,,,,,,,
24,28.6,11.2,,,,,,,
48,164.6,23.2,,,,,,,
98,212.6,113.2,,,,,,,
,,,,,,,,,
26.10.06#3,"5,2.5 (CIMR LS50)",,,,,,,,
Time (h),asyn,a41-140,a51-140,a71-140,,,,,
0,4,4,4,4,,,,,
4,4.4,4.1,4.3,4,,,,,
8,5.8,4.1,4,4.4,,,,,
24,236,9.3,36.2,7.4,,,,,
48,224,148.2,67.2,92.4,,,,,
98,234,171.2,76.2,68.4,,,,,
,,,,,,,,,
02.11.06,"5,2.5 (CIMR LS50)",,,,,,,,
Time (h),asyn,a45V46V,a71E72E,a45V46V71E72E,a1-70,,,,
0,4,4,4,4,4,,,,
0.5,4.1,119.2,4.3,4.2,3.9,,,,
1,4.3,257.2,4.3,4.4,3.8,,,,
2.5,4.8,286.2,5,5,4.4,,,,
4,5.3,294.2,5,5.3,4.4,,,,
8,7.2,282.2,5,21.8,4.7,,,,
24,50.7,311.2,5.3,190.8,35.3,,,,
48,167.1,351.2,4.7,198.8,75.3,,,,
100,174.1,344.2,22.7,216.8,51.3,,,,
,,,,,,,,,
06.11.06,"5,10 1%Atten (LMB LS55B)",,,,,,,,
Time (h),asyn,a1-75,a1-80,,,,,,
0,4,4,4,,,,,,
0.5,4,3.9,4,,,,,,
1,4,3.7,4.1,,,,,,
2,3.9,3.8,5.2,,,,,,
4,4.8,14.7,50.7,,,,,,
8,10.2,56.4,51.7,,,,,,
24,35.7,47.4,52.7,,,,,,
48,61.7,48.4,43.7,,,,,,
98,80.7,37.4,36.7,,,,,,
,,,,,,,,,
14.11.06,,,"5,10 1%Atten (LMB LS55B)",,,,,,
Time (h),asyn,b5V,b5V8Q,,,,,,
0,4,4,4,,,,,,
4.5,7.2,4.2,4.1,,,,,,
8,11.6,4.1,4.1,,,,,,
24,69.4,4.1,4.3,,,,,,
48,88.4,4.3,6.99,,,,,,
98,79.4,4.5,30,,,,,,
